0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0503	0.9643	0.9271	0.9567	0.9632	1.0923	1.0643	0.9405	1.0524	1.0319	0.9599	0.9415	1.0191	1.1003	0.9171	1.0836	1.0981	0.9560	1.1055	1.0809	0.9821
0.1005	1.3013	1.3548	1.3924	1.4931	1.5365	1.3103	1.5017	1.4645	1.3164	1.3292	1.3490	1.5413	1.4296	1.5788	1.3147	1.5245	1.3399	1.5231	1.4440	1.3935
0.1508	1.7402	1.6906	1.9224	1.6376	1.6417	1.6808	1.9715	1.9366	1.8815	1.9832	1.8616	1.6825	1.9819	1.8539	1.9720	1.7022	1.7613	1.6765	1.6757	1.8947
0.2011	2.0268	1.9577	2.1055	2.0269	2.1709	2.3680	2.1945	2.2540	2.2989	2.3043	2.1775	2.1925	1.9765	2.0408	1.9657	2.0282	2.0376	2.0009	2.1314	2.2473
0.2513	2.3031	2.3310	2.5206	2.5096	2.6974	2.5207	2.5839	2.4967	2.3063	2.6391	2.6024	2.6936	2.6898	2.3635	2.3923	2.3745	2.2481	2.5816	2.5217	2.5327
0.3016	2.6695	2.6258	2.7095	2.7037	2.8607	2.6157	2.9661	2.9721	2.8657	3.0392	2.9027	2.6371	3.1535	3.0341	2.8442	2.7815	2.9966	2.9382	2.8990	3.1392
0.3519	3.3502	3.1366	2.9264	2.9045	3.2129	3.3342	3.1786	3.1244	3.4238	2.9908	3.2941	3.4307	2.9525	3.2852	3.2688	3.5025	3.3396	3.3077	3.1923	2.9606
0.4021	3.3464	3.6138	3.8322	3.3671	3.5062	3.7967	3.6675	3.7296	3.9721	3.5820	3.5864	3.6938	3.7303	3.5495	3.7204	3.6649	3.5829	3.5726	3.6399	3.9641
0.4524	3.8855	3.6473	3.7359	4.2927	3.7606	3.8129	3.8174	3.8350	4.4275	4.3691	3.9883	4.6450	3.6030	3.8277	3.7130	3.9982	3.5705	4.0917	4.0292	3.9738
0.5027	4.4951	4.3524	4.8868	4.8312	4.7895	3.9564	4.6573	4.4455	5.1882	4.5767	4.1279	4.5152	4.3551	4.4494	4.4384	4.6108	4.1483	4.5985	4.6363	4.4429
0.5529	4.4415	4.7822	5.2162	4.6214	4.8488	5.0840	4.4076	4.6458	4.5066	4.3623	5.3927	4.2493	4.9386	4.8403	5.3834	5.1871	5.4880	4.8982	5.1005	4.5113
0.6032	4.8931	5.5217	4.9685	6.1371	5.2036	5.5051	5.8895	5.5349	4.6008	5.8122	5.0856	5.2405	6.2285	5.4192	5.3856	5.7627	5.4147	5.0869	5.2671	4.6369
0.6535	5.0571	5.3889	5.8486	6.1254	5.6899	5.9142	5.7387	6.5769	5.3556	6.4471	5.6492	5.2706	6.6990	5.5898	5.8650	5.3740	6.2365	6.4732	6.4987	5.5869
0.7037	6.1319	6.1093	5.5814	5.7313	6.0934	5.3273	6.0441	6.5240	6.6744	6.9779	6.1375	6.6906	5.5470	6.7327	5.7748	6.4858	5.6266	5.6524	6.3495	5.6899
0.7540	6.7937	6.3526	7.1757	7.0984	6.6273	7.6464	6.7491	5.9209	5.5957	6.5994	5.5464	6.4306	6.6812	6.6105	6.7362	6.5484	6.1554	6.3164	6.7938	6.4345
0.8042	6.9581	6.3536	7.2628	7.1236	6.8812	6.8698	5.9419	7.9227	7.3144	7.2875	5.7860	6.6141	8.2730	6.3138	7.2166	6.9403	7.1866	6.6146	7.5878	6.5980
0.8545	6.2559	7.8618	7.0077	5.9685	8.6172	7.6625	6.4805	7.5406	6.5956	7.0446	6.9712	6.5467	6.3856	7.2210	6.4455	6.4593	7.3422	6.3146	7.0103	7.2019
0.9048	7.0748	7.7187	8.4505	7.6263	8.7638	7.8303	6.8549	6.6503	9.1712	7.1667	8.4293	7.4575	8.3733	7.9150	7.2088	7.2438	7.0444	8.3015	7.0878	7.0312
0.9550	7.5676	8.1162	7.5059	8.3203	8.6590	7.5050	7.8583	8.5254	6.9037	7.7915	7.6830	8.0647	8.5698	7.7742	8.1661	7.5423	7.9028	8.4636	7.9742	6.7884
1.0053	7.3445	7.6099	8.4232	7.4248	7.4041	7.2369	8.3593	7.9315	7.3874	8.5239	7.4231	7.5027	7.5909	8.2859	7.6907	7.8989	7.9156	8.9727	6.6914	8.2155
1.0556	8.0134	7.5342	8.0613	8.2160	8.1956	8.3740	7.8241	7.8786	8.6172	7.5859	7.3630	7.5757	7.7317	7.2507	8.4857	7.7425	7.6702	8.9989	8.2077	7.7944
1.1058	8.2262	8.1319	8.5218	7.0218	8.9978	8.4541	8.3613	8.4914	7.3016	8.9539	7.4109	7.9387	8.1778	9.0499	8.8432	8.3320	8.6347	7.8036	6.8658	7.9768
1.1561	8.3963	8.6747	8.3239	6.8122	8.2282	7.8744	8.0995	8.5556	8.5239	7.9580	7.2171	8.2447	8.4078	7.3623	7.7248	8.0837	7.0206	7.3049	8.3552	7.0137
1.2064	8.5458	8.6586	7.7203	7.5310	8.2859	8.0042	7.6286	7.2095	6.9314	8.1285	8.4838	8.1547	7.9710	8.3316	7.6717	8.0894	7.6929	7.6231	8.2387	8.7753
1.2566	7.1313	7.5432	7.6730	8.3238	7.8766	9.0043	8.0476	7.3549	8.0941	8.8208	7.1784	8.6759	7.9319	7.7384	7.7324	7.0890	7.2402	6.7710	8.4559	7.4855
1.3069	6.4456	7.4632	7.2732	8.3264	7.9275	7.6321	7.1063	7.0769	7.4969	7.9999	6.5587	6.9538	7.0696	6.7468	7.5476	7.5070	7.2998	7.7383	7.5382	6.7339
1.3572	7.3173	7.2837	6.8016	6.9258	7.4018	7.3785	7.4756	7.4572	6.9537	7.0428	6.7551	7.5546	7.2193	7.0619	7.4035	7.0317	6.2536	7.8239	8.1565	6.7504
1.4074	6.7153	7.3564	7.7405	7.2756	6.9081	7.1200	7.3724	7.1338	6.9951	7.2539	7.2611	7.3952	6.7241	7.3555	7.1281	7.3594	7.1256	7.2044	6.7027	6.7946
1.4577	6.9417	6.4581	6.8592	7.1452	6.9413	7.0583	6.7888	7.4101	6.9084	6.7679	6.8493	6.1070	6.7407	7.1552	7.0680	6.5756	6.6494	6.4872	6.7072	6.9815
